feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,license_name,fixed_url,feed_url,zip_name,feed_note,feed_version_note
f0601402,村山市　市営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/murayama_gtfs.zip,murayama_gtfs.zip,,2021/4/1改正
f0601502,長井市営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/nagai_gtfs.zip,nagai_gtfs.zip,,2021/4/1改正
f0601602,新庄市　市営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/shinjo_gtfs.zip,shinjo_gtfs.zip,,2021/4/1改正
f0601702,庄内町　町営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210423,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/shonai_gtfs.zip,shonai_gtfs.zip,,2020/12/22改正
f0601801,寒河江市内循環バス「スマイル号」,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210329,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/sagae_gtfs.zip,sagae_gtfs.zip,,2021/4/1改正
f0601901,天童市　市営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/tendo_gtfs.zip,tendo_gtfs.zip,,2021/4/1改正
f0602001,尾花沢市路線バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/obanazawa_gtfs.zip,obanazawa_gtfs.zip,,2021/4/1改正
f0602101,中山町　町営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/nakayama_gtfs.zip,nakayama_gtfs.zip,,2021/4/1改正
f0602201,小国町営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/oguni_gtfs.zip,oguni_gtfs.zip,,2021/4/1改正
f0602301,白鷹町　町営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/shirataka_gtfs.zip,shirataka_gtfs.zip,,2021/4/1改正
f0602401,最上町　町営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/mogami_gtfs.zip,mogami_gtfs.zip,,2021/4/1改正
f0602501,戸沢村　村営バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/tozawa_gtfs.zip,tozawa_gtfs.zip,,2021/4/1改正
f0602601,山形鉄道,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210326,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/flower-liner_gtfs.zip,flower-liner_gtfs.zip,,2021/4/1改正
f0602701,最上川交通,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210330,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/mogamigawakotsu_gtfs.zip,mogamigawakotsu_gtfs.zip,,2021/4/1改正
f0602801,山交バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210415,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/yamakobus_gtfs.zip,yamakobus_gtfs.zip,,2021/4/1改正
f0602901,庄内交通,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210415,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/shonaikotsu_gtfs.zip,shonaikotsu_gtfs.zip,,2021/4/1改正
f0603001,朝日町路線バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210419,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/asahi_gtfs.zip,asahi_gtfs.zip,,2020/04/1改正
f0603101,米沢市　市民バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210419,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/yonezawa_gtfs.zip,yonezawa_gtfs.zip,,2021/4/1改正
f0603201,西川町路線バス,06,山形県,1,https://www.pref.yamagata.jp/020056/kurashi/kendo/kotsuseisaku/kokyokotsu_gtfs-jp.html,20210427,CC BY 2.1,1,https://www.pref.yamagata.jp/documents/20978/nishikawa_gtfs.zip,nishikawa_gtfs.zip,,2021/4/1改正
f0700101,会津バス（会津乗合自動車）,07,福島県,1,https://data.data4citizen.jp/dataset/10060103,20201011,CC BY 4.0,1,,,txtファイル別（csv形式で掲載）,2020/10/1～
f0800101,つくば市　つくバス,08,茨城県,1,https://www.city.tsukuba.lg.jp/cgi-opd/opendata.cgi?category=06&ys=0&ms=0&ds=0&ye=0&me=0&de=0&text=&format=0&license=0&group=0&sort=2#kekka,20200326,CC BY 4.0,0,https://www.city.tsukuba.lg.jp/_res/projects/default_project/_page_/001/001/471/gtfs_bus_202003.zip,gtfs_bus_202003.zip,,
f0800301,桜川市バス「ヤマザクラGO」,08,茨城県,1,http://www.city.sakuragawa.lg.jp/opendata.php,20200324,CC BY 4.0,1,http://www.city.sakuragawa.lg.jp/opendata_download.php?code=8,GTFS-JPデータ形式.zip,,2020/4/1改正
f0800401,稲敷市内公共交通（桜東バス・ブルーバス・コミュニティバス）,08,茨城県,1,https://www.city.inashiki.lg.jp/opendata.php,20210315,CC BY 2.1,1,https://www.city.inashiki.lg.jp/opendata_download.php?code=10,gtfs_稲敷市_R030401.zip,,2021/4/1～
f0900101,佐野市営バス（さーのって号）,09,栃木県,1,https://www.city.sano.lg.jp/kurashi_gyosei/shiseijoho_nyusatsu/tokei_johokokai/1/8590.html,20210401,CC BY 2.1,0,https://www.city.sano.lg.jp/material/files/group/17/133r03.zip,133r03.zip,,2021/4/1改正
f0900201,那須塩原市地域バス（ゆーバス）,09,栃木県,1,http://opendata-nasu.opendatastack.jp/dataset/gtfs,20210203,CC BY 2.1,1,https://nasu-ckan.s3.amazonaws.com/ckan/resources/ebe5e391-9229-4bd7-8f22-401b44714557/gtfs-jp2020-10-01nasushiobara.zip,gtfs-jp2020-10-01nasushiobara.zip,市Webサイトにデータ掲載あり（オープンデータライセンス表記なし）,2020/10/1改正
f0901401,日光市営バス,09,栃木県,1,https://www.city.nikko.lg.jp/seisaku/opendate.html,20210331,CC BY 4.0,0,https://www.city.nikko.lg.jp/seisaku/documents/20210401gtfs-jp.zip,20210401gtfs-jp.zip,,2021/4/1改正(カタログページ)
f0901501,足利市　あしバスアッシー,09,栃木県,1,https://www.city.ashikaga.tochigi.jp/site/opendata/opendata-bus.html,20210420,CC BY 2.1,0,https://www.city.ashikaga.tochigi.jp/uploaded/attachment/67971.zip,67971.zip,,2021/4/1改正
f1000101,永井バス（永井運輸）（自主路線）,10,群馬県,1,https://www.nagai-unyu.net/open-data/,20210305,CC BY 4.0,1,https://www.nagai-unyu.net/rosen/GTFS/nagai/latest/GTFS-JP_nagaibus-gunma-jp.zip,GTFS-JP_nagaibus-gunma-jp.zip,群馬県オープンデータサイトにリンク掲載あり,2021/4/1改正
f1000102,永井バス（永井運輸）（補助路線）,10,群馬県,1,https://www.nagai-unyu.net/open-data/,20210407,CC BY 4.0,1,https://www.nagai-unyu.net/rosen/GTFS/aux/GTFS-JP_nbaux-gunma-jp_gyomu.zip,GTFS-JP_nbaux-gunma-jp_gyomu.zip,・前橋市マイバス西循環線，東循環線を含む;・群馬県オープンデータサイトにリンク掲載あり,2021/4/1改正（業務用独自拡張版）
f1000102,永井バス（永井運輸）（補助路線）,10,群馬県,1,https://www.nagai-unyu.net/open-data/,20210305,CC BY 4.0,1,https://www.nagai-unyu.net/rosen/GTFS/aux/latest/GTFS-JP_nbaux-gunma-jp.zip,GTFS-JP_nbaux-gunma-jp.zip,・前橋市マイバス西循環線，東循環線を含む;・群馬県オープンデータサイトにリンク掲載あり,2021/4/1改正
f1000103,玉村町乗合タクシー　たまりん,10,群馬県,1,https://www.nagai-unyu.net/open-data/,20210331,CC BY 4.0,1,https://www.nagai-unyu.net/rosen/GTFS/tamarin/latest/GTFS-JP_tamarin-gunma-jp.zip,GTFS-JP_tamarin-gunma-jp.zip,群馬県オープンデータサイトにリンク掲載あり,2021/1/4改正
f1000201,日本中央バス（奥多野線）,10,群馬県,1,https://www.ncbbus.co.jp/route/GTFS.htm,20210116,CC BY 4.0,1,http://www.ncbbus.co.jp/route/GTFS/GTFS(OT).zip,GTFS(OT).zip,群馬県オープンデータサイトにリンク掲載あり,2019/10/1改正（2021年祝日反映）
f1000202,日本中央バス（前橋近郊路線、空港バス、高速バス）,10,群馬県,1,https://www.ncbbus.co.jp/route/GTFS.htm,20210322,CC BY 4.0,1,https://ncb.jp/route/GTFS/latest/GTFS(MB).zip,GTFS(MB).zip,群馬県オープンデータサイトにリンク掲載あり,2021/4/1改正
f1000301,上信電鉄（バス）,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200916,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1013.joshin_bus.zip,gtfs.1013.joshin_bus.zip,,
f1000401,関越交通,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210324,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1001.kanetsu_kotu.zip,gtfs.1001.kanetsu_kotu.zip,,2021/4/1改正
f1000501,群馬バス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200210,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1007.gunma_bus.zip,gtfs.1007.gunma_bus.zip,,2020/12/28改正
