feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,fixed_url,license_name,feed_url,feed_note,feed_version_note
f3200102,松江市コミュニティバス　忌部コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20200928,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E5%BF%8C%E9%83%A8zip.zip,,2020/4/1改正
f3200103,松江市コミュニティバス　玉湯コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20201013,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E7%8E%89%E6%B9%AFzip.zip,,2019/4/1改正
f3200104,松江市コミュニティバス　古江コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20201013,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E5%8F%A4%E6%B1%9Fzip.zip,,2020/4/1改正
f3200105,松江市コミュニティバス　鹿島コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20201013,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E9%B9%BF%E5%B3%B6zip.zip,,2020/4/2改正
f3200106,松江市コミュニティバス　宍道コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20201013,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E5%AE%8D%E9%81%93zip.zip,,2018/4/1改正
f3200107,松江市コミュニティバス　島根コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20200928,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E5%B3%B6%E6%A0%B9zip.zip,,2019/4/1改正
f3200108,松江市コミュニティバス　東出雲町コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20200928,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E6%9D%B1%E5%87%BA%E9%9B%B2zip.zip,,2020/4/1改正
f3200109,松江市コミュニティバス　八雲コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20200928,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E5%85%AB%E9%9B%B2zip.zip,,2020/4/1改正
f3200110,松江市コミュニティバス　八束コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20201013,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E5%85%AB%E6%9D%9Fzip.zip,,2019/4/1改正
f3200111,松江市コミュニティバス　本庄・持田コミュニティバス,32,島根県,1,http://www.docodemo-bus.net/opendata/opendata.html,20201013,0,CC BY 4.0,http://www.docodemo-bus.net/opendata/%E6%9C%AC%E5%BA%84%E3%83%BB%E6%8C%81%E7%94%B0zip.zip,,2019/4/1改正
f3300101,宇野バス（宇野自動車）,33,岡山県,1,http://www3.unobus.co.jp/opendata/,20201224,1,CC 0,http://www3.unobus.co.jp/opendata/GTFS-JP.zip,,2021/1/4改正
f3300201,下電バス（下津井電鉄）,33,岡山県,1,http://www.shimoden.net/busmada/opendata/,20210303,1,CC BY 4.0,http://shimoden.net/busmada/opendata/next/GTFS-JP.zip,,2020/10/1改正（2021/3/3一部更新）
f3300301,両備バス,33,岡山県,1,https://loc.bus-vision.jp/ryobi/view/opendata.html,20210201,1,CC BY 4.0,https://loc.bus-vision.jp/gtfs/ryobi/gtfsFeed,東備バス含む,2021/2/1～
f3300401,岡電バス（岡山電気軌道）,33,岡山県,1,https://loc.bus-vision.jp/ryobi/view/opendata.html,20210301,1,CC BY 4.0,https://loc.bus-vision.jp/gtfs/okaden/gtfsFeed,,2021/3/1～
